,FSA,bedrooms,post_published_date,average_price
498,M5G,1.0,2020-10-28,2149.5
499,M5H,1.0,2020-09-20,2100.0
500,M5H,2.0,2020-09-20,3004.0
501,M5H,2.0,2020-10-14,2200.0
502,M5H,2.0,2020-10-18,2200.0
503,M5H,1.0,2020-10-19,2092.5
504,M5H,1.0,2020-10-21,2250.0
505,M5H,2.0,2020-10-21,2550.0
506,M5H,1.0,2020-10-22,1690.0
507,M5H,1.0,2020-10-23,2175.0
508,M5H,1.0,2020-10-24,1775.0
509,M5H,1.0,2020-10-28,1850.0
510,M5J,1.0,2020-09-20,2000.0
511,M5J,2.0,2020-09-20,3040.0
512,M5J,1.0,2020-09-25,1866.6666666666667
513,M5J,2.0,2020-09-25,2875.0
514,M5J,2.0,2020-09-28,3295.0
515,M5J,1.0,2020-09-29,2315.0
516,M5J,2.0,2020-09-29,2950.0
517,M5J,1.0,2020-10-01,2295.0
518,M5J,1.0,2020-10-02,1600.0
519,M5J,1.0,2020-10-04,1933.3333333333333
520,M5J,2.0,2020-10-04,2600.0
521,M5J,2.0,2020-10-05,2995.0
522,M5J,1.0,2020-10-07,2299.0
523,M5J,1.0,2020-10-09,1800.0
524,M5J,2.0,2020-10-11,2895.0
525,M5J,1.0,2020-10-13,2130.8333333333335
526,M5J,2.0,2020-10-13,2797.5
527,M5J,1.0,2020-10-14,2029.0
528,M5J,2.0,2020-10-14,2750.0
529,M5J,1.0,2020-10-15,2212.5
530,M5J,2.0,2020-10-15,2300.0
531,M5J,2.0,2020-10-16,2425.0
532,M5J,2.0,2020-10-17,2549.5
533,M5J,1.0,2020-10-18,1895.0
534,M5J,2.0,2020-10-18,2466.6666666666665
535,M5J,1.0,2020-10-19,1983.75
536,M5J,2.0,2020-10-19,3122.5
537,M5J,1.0,2020-10-20,2625.0
538,M5J,1.0,2020-10-21,1874.0
539,M5J,2.0,2020-10-21,2948.3333333333335
540,M5J,1.0,2020-10-22,2062.375
541,M5J,2.0,2020-10-22,3000.0
542,M5J,1.0,2020-10-23,2062.5
543,M5J,2.0,2020-10-23,3350.0
544,M5J,1.0,2020-10-24,1833.3333333333333
545,M5J,1.0,2020-10-25,1825.0
546,M5J,2.0,2020-10-25,3050.0
547,M5J,1.0,2020-10-26,1850.0
548,M5J,2.0,2020-10-26,3747.5
549,M5J,1.0,2020-10-27,1814.2
550,M5J,1.0,2020-10-28,1939.6
551,M5J,2.0,2020-10-28,2893.3333333333335
552,M5M,1.0,2020-10-10,1275.0
553,M5M,1.0,2020-10-23,2099.0
554,M5M,2.0,2020-10-24,1800.0
555,M5N,2.0,2020-09-29,2199.0
556,M5N,1.0,2020-10-13,1600.0
557,M5N,2.0,2020-10-16,2650.0
558,M5N,2.0,2020-10-21,1500.0
559,M5N,2.0,2020-10-25,2400.0
560,M5P,1.0,2020-09-24,1700.0
561,M5P,1.0,2020-10-01,1850.0
562,M5P,1.0,2020-10-05,1285.0
563,M5P,1.0,2020-10-06,1400.0
564,M5P,1.0,2020-10-08,2100.0
565,M5P,1.0,2020-10-13,1550.0
566,M5P,1.0,2020-10-14,1300.0
567,M5P,2.0,2020-10-16,3025.0
568,M5P,1.0,2020-10-17,1695.0
569,M5P,1.0,2020-10-20,1495.0
570,M5P,1.0,2020-10-21,2495.0
571,M5P,2.0,2020-10-22,1595.0
572,M5P,1.0,2020-10-24,1800.0
573,M5P,2.0,2020-10-24,2850.0
574,M5P,1.0,2020-10-25,1950.0
575,M5P,2.0,2020-10-25,2370.0
576,M5P,1.0,2020-10-26,1495.0
577,M5P,1.0,2020-10-28,2247.5
578,M5R,2.0,2020-09-19,3150.0
579,M5R,1.0,2020-09-20,2010.0
580,M5R,2.0,2020-09-20,2750.0
581,M5R,1.0,2020-09-24,2750.0
582,M5R,2.0,2020-09-24,3500.0
583,M5R,2.0,2020-09-26,2150.0
584,M5R,1.0,2020-09-29,2400.0
585,M5R,2.0,2020-09-29,3150.0
586,M5R,2.0,2020-10-02,2400.0
587,M5R,2.0,2020-10-04,2400.0
588,M5R,1.0,2020-10-05,1650.0
589,M5R,1.0,2020-10-06,1995.0
590,M5R,2.0,2020-10-06,2987.5
591,M5R,2.0,2020-10-07,4950.0
592,M5R,1.0,2020-10-10,2750.0
593,M5R,2.0,2020-10-11,2975.0
594,M5R,1.0,2020-10-12,899.0
595,M5R,1.0,2020-10-13,2521.25
596,M5R,1.0,2020-10-14,1291.6666666666667
597,M5R,1.0,2020-10-15,1619.0
598,M5R,1.0,2020-10-16,1633.3333333333333
599,M5R,2.0,2020-10-16,3500.0
600,M5R,2.0,2020-10-17,2766.6666666666665
601,M5R,1.0,2020-10-18,1350.0
602,M5R,1.0,2020-10-19,1723.75
603,M5R,2.0,2020-10-19,1411.0
604,M5R,1.0,2020-10-20,1105.6666666666667
605,M5R,1.0,2020-10-21,1814.2857142857142
606,M5R,2.0,2020-10-21,1943.75
607,M5R,1.0,2020-10-22,1942.857142857143
608,M5R,2.0,2020-10-22,4500.0
609,M5R,1.0,2020-10-23,2496.6666666666665
610,M5R,2.0,2020-10-23,2800.0
611,M5R,1.0,2020-10-24,1956.25
612,M5R,2.0,2020-10-24,2550.0
613,M5R,1.0,2020-10-25,1300.0
614,M5R,2.0,2020-10-25,1740.0
615,M5R,1.0,2020-10-26,1496.3333333333333
616,M5R,2.0,2020-10-26,5071.25
617,M5R,2.0,2020-10-27,2197.5
618,M5R,1.0,2020-10-28,1750.0
619,M5R,2.0,2020-10-28,2283.3333333333335
620,M5S,1.0,2020-09-20,2095.0
