,FSA,bedrooms,post_published_date,average_price
499,M4C,1.0,2020-10-24,1395.0
500,M4C,2.0,2020-10-24,2000.0
501,M4C,1.0,2020-10-28,1675.0
502,M4C,2.0,2020-10-28,2250.0
503,M4C,1.0,2020-10-29,2049.0
504,M4C,1.0,2020-10-30,1200.0
505,M4C,2.0,2020-10-30,1400.0
506,M4C,2.0,2020-10-31,2250.0
507,M4C,1.0,2020-11-01,2100.0
508,M4C,2.0,2020-11-01,2250.0
509,M4C,2.0,2020-11-03,1910.0
510,M4E,2.0,2020-09-19,2000.0
511,M4E,1.0,2020-09-20,2175.0
512,M4E,1.0,2020-09-21,1900.0
513,M4E,2.0,2020-09-21,2822.5
514,M4E,1.0,2020-09-22,1650.0
515,M4E,2.0,2020-09-23,1925.0
516,M4E,1.0,2020-09-25,3000.0
517,M4E,1.0,2020-09-26,1900.0
518,M4E,1.0,2020-09-27,1275.0
519,M4E,1.0,2020-09-28,1400.0
520,M4E,1.0,2020-09-29,1895.0
521,M4E,1.0,2020-09-30,1400.0
522,M4E,1.0,2020-10-01,1495.0
523,M4E,1.0,2020-10-02,1600.0
524,M4E,1.0,2020-10-03,1830.0
525,M4E,1.0,2020-10-04,1275.0
526,M4E,2.0,2020-10-04,2025.0
527,M4E,2.0,2020-10-05,2700.0
528,M4E,1.0,2020-10-06,1495.0
529,M4E,1.0,2020-10-07,1775.0
530,M4E,1.0,2020-10-08,1425.0
531,M4E,1.0,2020-10-11,1399.0
532,M4E,1.0,2020-10-13,1600.0
533,M4E,2.0,2020-10-13,2356.6666666666665
534,M4E,1.0,2020-10-16,1995.0
535,M4E,2.0,2020-10-17,1475.0
536,M4E,2.0,2020-10-22,2200.0
537,M4E,2.0,2020-10-23,1995.0
538,M4E,1.0,2020-10-27,1795.0
539,M4E,2.0,2020-10-27,1200.0
540,M4E,2.0,2020-10-28,1200.0
541,M4E,1.0,2020-10-29,2495.0
542,M4E,1.0,2020-10-30,1900.0
543,M4E,1.0,2020-10-31,2000.0
544,M4G,2.0,2020-09-23,2300.0
545,M4G,2.0,2020-09-27,1995.0
546,M4G,2.0,2020-10-19,2800.0
547,M4G,1.0,2020-10-24,1725.0
548,M4G,1.0,2020-10-25,1990.0
549,M4H,2.0,2020-09-23,2500.0
550,M4H,2.0,2020-09-25,2000.0
551,M4H,1.0,2020-10-21,1.0
552,M4H,2.0,2020-10-30,1200.0
553,M4J,2.0,2020-09-19,2995.0
554,M4J,1.0,2020-09-20,1395.0
555,M4J,2.0,2020-09-22,1900.0
556,M4J,1.0,2020-09-25,1200.0
557,M4J,1.0,2020-09-26,1610.0
558,M4J,1.0,2020-09-28,1600.0
559,M4J,2.0,2020-09-30,1600.0
560,M4J,1.0,2020-10-01,1500.0
561,M4J,1.0,2020-10-03,1800.0
562,M4J,1.0,2020-10-04,1200.0
563,M4J,1.0,2020-10-05,1295.0
564,M4J,1.0,2020-10-06,1800.0
565,M4J,1.0,2020-10-07,1450.0
566,M4J,2.0,2020-10-07,1600.0
567,M4J,1.0,2020-10-08,1797.5
568,M4J,2.0,2020-10-09,1895.0
569,M4J,2.0,2020-10-13,2500.0
570,M4J,2.0,2020-10-14,1872.5
571,M4J,1.0,2020-10-15,1587.5
572,M4J,1.0,2020-10-17,1450.0
573,M4J,2.0,2020-10-17,1475.0
574,M4J,1.0,2020-10-18,1525.0
575,M4J,2.0,2020-10-18,1475.0
576,M4J,1.0,2020-10-19,1600.0
577,M4J,2.0,2020-10-19,2997.5
578,M4J,1.0,2020-10-20,1600.0
579,M4J,2.0,2020-10-20,2360.0
580,M4J,1.0,2020-10-22,1625.0
581,M4J,2.0,2020-10-26,2680.0
582,M4J,1.0,2020-10-27,1150.0
583,M4J,1.0,2020-11-01,1200.0
584,M4J,2.0,2020-11-02,2950.0
585,M4J,1.0,2020-11-03,1497.5
586,M4J,2.0,2020-11-03,2200.0
587,M4K,1.0,2020-09-19,1500.0
588,M4K,2.0,2020-09-19,2125.0
589,M4K,1.0,2020-09-20,1350.0
590,M4K,1.0,2020-09-21,1500.0
591,M4K,1.0,2020-09-23,1625.0
592,M4K,2.0,2020-09-23,2500.0
593,M4K,1.0,2020-09-24,1500.0
594,M4K,1.0,2020-09-25,1741.6666666666667
595,M4K,2.0,2020-09-25,2731.6666666666665
596,M4K,2.0,2020-09-26,1950.0
