Column1.id,Column1.sqft,Column1.price
c_7197644117,736,2200
c_7197963317,612,2200
c_7198066669,620,2200
c_7198100341,500,2200
c_7198411409,750,2200
c_7198915322,475,2200
c_7199231461,670,2200
c_7199922761,800,2200
c_7200097653,1000,2200
c_7200136340,580,2200
c_7200777946,750,2200
c_7201004219,603,2200
c_7201028258,540,2200
c_7201329461,713,2200
c_7202052716,800,2200
c_7202189485,850,2200
c_7202241661,780,2200
c_7202414460,620,2200
c_7202435192,900,2200
c_7202674766,850,2200
c_7202708273,1200,2200
c_7203591629,930,2200
c_7203708283,1100,2200
c_7204179362,850,2200
c_7204227000,790,2200
c_7204489906,620,2200
c_7204575377,800,2200
c_7204605085,750,2200
c_7205036090,800,2200
c_7205048458,525,2200
c_7205104178,1360,2200
c_7205176965,700,2200
c_7205413445,850,2200
c_7205599234,650,2200
c_7205784132,1000,2200
c_7206102596,835,2200
c_7206157788,603,2200
c_7206393625,690,2200
c_7206624555,620,2200
c_7206890164,850,2200
c_7207100126,750,2200
c_7208816106,902,2200
c_7208931628,700,2200
c_7209135635,800,2200
c_7209490864,900,2200
c_7209519066,824,2200
c_7209725986,775,2200
c_7209987027,800,2200
c_7210062892,800,2200
c_7210178208,902,2200
c_7210233738,1000,2200
c_7210236528,800,2200
c_7210645569,605,2200
c_7210819771,800,2200
c_7210998288,700,2200
c_7211118489,742,2200
c_7211121873,805,2200
c_7211333433,650,2200
c_7211345725,700,2200
c_7211421536,700,2200
c_7211653398,1250,2200
c_7211660582,2000,2200
c_7211876324,700,2200
c_7212553168,700,2200
c_7212653432,704,2200
c_7213261533,700,2200
c_7213451893,1099,2200
c_7213594012,659,2200
c_7213777643,700,2200
c_7213852346,700,2200
c_7214026596,810,2200
c_7214675800,595,2200
c_7214705610,750,2200
c_7214764908,600,2200
c_7214969769,594,2200
c_7215233590,750,2200
c_7215251048,673,2200
c_7215431275,700,2200
c_7215514917,875,2200
c_7215551553,750,2200
c_7215657629,800,2200
c_7215983111,700,2200
c_7216419711,775,2200
c_7216749837,870,2200
c_7217698699,595,2200
c_7217972218,900,2200
c_7218354228,960,2200
c_7218357608,750,2200
c_7218401189,1000,2200
c_7218618087,510,2200
c_7218755922,673,2200
c_7218805362,620,2200
c_7218912227,800,2200
c_7218914821,760,2200
c_7219248247,700,2200
c_7219839276,660,2200
c_7219999552,1000,2200
c_7220671610,700,2200
c_7220860151,800,2200
c_7221108367,640,2200
c_7221464542,785,2200
c_7221759790,650,2200
c_7221763326,650,2200
c_7221987418,800,2200
c_7223231730,875,2200
c_7223463868,800,2200
c_7223849992,750,2200
c_7223922049,550,2200
c_7224150041,750,2200
c_7225161070,750,2200
k_1501096296,900,2200
k_1508773822,750,2200
k_1512681748,625,2200
k_1516906275,1200,2200
k_1517189020,580,2200
k_1517762238,900,2200
k_1517769301,635,2200
k_1517769694,1056,2200
k_1517772053,1000,2200
k_1517772581,1200,2200
k_1517782688,625,2200
k_1517797565,1800,2200
k_1517826982,704,2200
k_1517831620,1800,2200
k_1517848868,612,2200
k_1517860508,700,2200
k_1517879135,655,2200
c_7203461724,700,2205
c_7206783820,700,2205
k_1515948914,940,2209
c_7188127944,665,2220
c_7204798154,500,2220
c_7215506126,665,2220
c_7217017325,680,2220
c_7218506703,665,2220
c_7218507774,665,2220
c_7213093830,1145,2230
c_7221766582,850,2240
c_7205382083,643,2243
c_7191533936,705,2245
c_7196226249,690,2245
c_7198540603,500,2245
c_7199558714,700,2245
c_7201991023,1000,2245
c_7206184370,705,2245
